parcel_id,name,quantity,price,expiration_date,barcode,auto_delete
PCL-00045,Parcel 179,68,272.82,2027-12-21,527633736476,No
PCL-00046,Box 868,40,78.74,2026-03-20,565066716258,Yes
PCL-00047,Envelope 722,18,231.83,2027-08-06,576811207124,Yes
PCL-00048,Bag 320,57,793.54,2027-04-03,764553953937,No
PCL-00049,Bag 849,41,264.63,2028-02-16,225059024287,Yes
PCL-00050,Envelope 955,43,891.63,2026-07-29,233900100956,Yes
PCL-00051,Envelope 816,66,44.19,2027-01-14,040557581157,No
PCL-00052,Container 158,37,338.0,2028-05-09,074247731261,Yes
PCL-00053,Envelope 512,69,919.34,2027-07-04,315844580128,Yes
PCL-00054,Package 602,94,766.71,2028-05-28,624331076506,Yes
PCL-00055,Parcel 666,51,441.67,2027-12-29,552208199086,No
PCL-00056,Satchel 728,20,740.05,2026-11-06,397663419518,No
PCL-00057,Bag 539,61,231.92,2025-12-13,287106477444,Yes
PCL-00058,Container 314,68,30.71,2026-12-13,755076091816,Yes
PCL-00059,Satchel 257,3,178.21,2028-01-30,565499601125,Yes
PCL-00060,Bundle 927,86,15.65,2028-04-20,806776087487,Yes
PCL-00061,Tube 994,2,917.36,2027-01-27,180519966190,Yes
PCL-00062,Tube 320,80,356.26,2028-02-06,672027357129,No
PCL-00063,Tube 387,24,715.09,2027-04-16,230334045704,Yes
PCL-00064,Parcel 736,76,985.53,2026-05-16,584962395904,Yes
PCL-00065,Container 757,96,19.05,2027-12-12,945655429524,Yes
PCL-00066,Package 644,1,424.7,2028-06-30,655230722031,Yes
PCL-00067,Envelope 396,7,427.66,2025-12-16,259702369576,No
PCL-00068,Tube 607,20,510.04,2027-12-18,001682671974,No
PCL-00069,Satchel 702,1,564.85,2026-04-03,312002745410,No
PCL-00070,Bundle 450,47,351.12,2026-09-04,682235297826,No
PCL-00071,Envelope 256,54,10.24,2027-11-11,717161778340,No
PCL-00072,Box 890,43,486.79,2027-12-14,166553433851,Yes
PCL-00073,Bundle 329,100,518.11,2027-03-19,012319903655,No
PCL-00074,Package 216,6,112.55,2028-03-29,351741879896,Yes
PCL-00075,Satchel 293,14,843.05,2026-09-13,801374775189,Yes
PCL-00076,Satchel 297,90,385.62,2027-04-23,542591340577,No
PCL-00077,Tube 127,69,416.5,2026-10-19,580974446225,No
PCL-00078,Box 311,73,787.13,2026-10-23,151869515177,Yes
PCL-00079,Tube 951,69,77.22,2027-09-30,053909855132,Yes
PCL-00080,Container 445,58,261.58,2028-05-26,569099511328,Yes
PCL-00081,Envelope 418,27,327.96,2027-07-04,507153128075,Yes
PCL-00082,Envelope 386,81,345.07,2027-06-21,231147230911,No
PCL-00083,Crate 170,55,680.23,2027-05-08,969421855014,No
PCL-00084,Crate 735,84,639.45,2027-12-21,490486069269,No
PCL-00085,Container 745,87,120.75,2026-08-14,567358822868,Yes
PCL-00086,Crate 503,77,381.4,2027-09-11,458970877518,Yes
PCL-00087,Satchel 166,93,563.34,2026-02-16,417538672356,No
PCL-00088,Tube 502,30,880.28,2027-04-30,676089041306,Yes
PCL-00089,Box 279,22,226.13,2027-10-27,579228219047,No
PCL-00090,Package 148,34,603.34,2026-11-05,532520062673,No
PCL-00091,Package 607,36,944.48,2028-04-10,147259939310,No
PCL-00092,Bundle 326,32,917.63,2026-07-08,003698434128,Yes
PCL-00093,Bag 568,83,266.48,2028-05-20,022421361721,Yes
PCL-00094,Crate 277,59,193.47,2026-03-22,898161762659,No
PCL-00095,Crate 125,2,885.59,2025-12-30,937264649317,Yes
PCL-00096,Box 347,66,955.07,2026-08-16,496656626513,No
PCL-00097,Parcel 543,68,422.9,2028-04-17,594444220512,No
PCL-00098,Bundle 887,48,636.05,2026-01-19,188269856882,No
PCL-00099,Tube 446,87,475.67,2027-10-31,961719203156,No
PCL-00100,Envelope 986,67,626.6,2027-03-24,681491371249,No
PCL-00101,Bundle 298,41,569.17,2027-03-30,314832341461,Yes
PCL-00102,Box 965,32,945.82,2028-04-10,021332818617,No
PCL-00103,Package 988,27,493.07,2027-03-06,904168176640,Yes
PCL-00104,Tube 159,77,890.8,2027-10-05,831234227661,Yes
PCL-00105,Envelope 891,46,938.42,2027-12-30,567513132442,No
PCL-00106,Envelope 183,10,783.35,2026-08-07,703685108978,No
PCL-00107,Crate 116,40,428.71,2026-05-12,666744123957,Yes
PCL-00108,Container 906,27,391.15,2026-01-23,162359043885,No
PCL-00109,Satchel 824,39,79.29,2027-01-11,859073079521,No
PCL-00110,Box 285,50,529.33,2027-11-01,630492240255,No
PCL-00111,Tube 219,68,898.42,2026-11-10,988533583319,No
PCL-00112,Container 265,62,140.6,2027-01-07,280922710921,Yes
PCL-00113,Crate 932,75,282.03,2025-12-21,031743698314,No
PCL-00114,Envelope 244,74,359.27,2027-05-16,326658904023,Yes
PCL-00115,Bundle 812,41,356.98,2025-12-23,818778936682,No
PCL-00116,Container 893,83,567.55,2026-05-02,400216754215,Yes
PCL-00117,Box 704,21,660.73,2026-11-08,913859215964,Yes
PCL-00118,Parcel 971,71,598.11,2026-05-04,842340294048,No
PCL-00119,Bundle 769,39,243.66,2027-04-13,066085820292,Yes
PCL-00120,Satchel 317,75,19.26,2026-04-03,077139755574,Yes
PCL-00121,Crate 483,87,384.15,2027-06-24,259058762586,No
PCL-00122,Bundle 669,27,351.87,2027-03-04,437051217652,Yes
PCL-00123,Bag 559,42,194.03,2027-01-28,286150001459,No
PCL-00124,Package 574,39,733.51,2027-05-10,277317729131,No
PCL-00125,Crate 516,1,674.94,2026-12-19,279810679947,No
PCL-00126,Box 955,30,732.23,2026-05-24,706877318492,Yes
PCL-00127,Bundle 208,86,117.89,2028-05-30,925155150134,Yes
PCL-00128,Bag 984,47,431.14,2027-09-08,981669862244,No
PCL-00129,Bundle 487,22,264.06,2026-01-08,055130150915,Yes
PCL-00130,Bag 494,71,837.13,2026-05-09,447092184134,Yes
PCL-00131,Crate 296,86,172.41,2027-03-01,454066349605,Yes
PCL-00132,Crate 433,44,224.59,2027-04-23,014247362498,No
PCL-00133,Envelope 194,1,597.29,2027-01-07,560811501138,Yes
PCL-00134,Crate 621,60,893.76,2027-04-27,016396794726,Yes
PCL-00135,Crate 204,72,154.26,2028-04-09,727276969300,Yes
PCL-00136,Crate 247,60,949.16,2027-04-10,824098392649,No
PCL-00137,Container 147,56,499.55,2026-04-15,131750275193,Yes
PCL-00138,Package 189,47,601.76,2027-11-25,002195466954,No
PCL-00139,Tube 547,61,978.83,2027-03-23,969900269438,Yes
PCL-00140,Envelope 184,25,341.98,2028-06-17,847159386846,No
PCL-00141,Package 750,16,222.0,2026-08-22,123794552653,Yes
PCL-00142,Parcel 258,72,505.05,2028-02-03,083763074545,No
PCL-00143,Crate 460,2,989.87,2026-11-30,839258071544,Yes
PCL-00144,Tube 590,85,427.4,2027-02-16,433472415958,No
PCL-00145,Crate 369,52,41.05,2028-06-01,808820227052,Yes
PCL-00146,Container 920,50,53.65,2027-05-24,417744730344,No
PCL-00147,Satchel 451,36,931.87,2028-01-03,639099810663,Yes
PCL-00148,Container 712,33,821.87,2027-10-16,526527062594,No
PCL-00149,Parcel 822,85,226.21,2026-06-16,027022091271,Yes
PCL-00150,Bundle 776,61,548.61,2025-11-23,080837417923,No
PCL-00151,Container 165,63,993.53,2027-09-29,872198426853,No
PCL-00152,Box 876,93,533.6,2028-01-30,315818353378,Yes
PCL-00153,Parcel 696,64,522.03,2027-06-30,120835405170,Yes
PCL-00154,Package 221,90,877.01,2026-01-16,469897671824,Yes
PCL-00155,Tube 488,2,999.79,2026-07-08,346524328189,No
PCL-00156,Tube 578,17,361.54,2028-05-13,313874091206,Yes
PCL-00157,Box 293,9,619.26,2026-03-24,739287496205,No
PCL-00158,Satchel 797,65,101.92,2026-07-23,971100832203,No
PCL-00159,Container 953,73,222.89,2027-04-20,612172541383,Yes
PCL-00160,Envelope 965,86,742.56,2026-12-05,304689483369,No
PCL-00161,Container 455,92,220.02,2028-02-01,137055677128,Yes
PCL-00162,Parcel 767,50,569.15,2027-11-06,921059795062,Yes
PCL-00163,Tube 584,38,198.96,2025-12-30,256091385955,Yes
PCL-00164,Box 804,33,957.54,2026-02-12,802098622818,Yes
PCL-00165,Tube 428,6,679.04,2026-10-10,204602725047,No
PCL-00166,Package 567,11,982.16,2028-02-25,987508983546,Yes
PCL-00167,Parcel 471,95,906.12,2028-06-15,175479094550,Yes
PCL-00168,Bag 787,96,877.92,2027-02-02,243197827654,No
PCL-00169,Tube 989,17,94.14,2028-02-20,936179933214,Yes
PCL-00170,Parcel 456,56,75.94,2025-12-28,802102477607,No
PCL-00171,Satchel 725,28,398.81,2027-01-09,594235975725,Yes
PCL-00172,Package 949,46,289.62,2026-12-18,247525094810,No
PCL-00173,Package 761,99,943.9,2027-12-21,827521570132,Yes
PCL-00174,Envelope 132,48,770.38,2027-02-09,909208455586,No
PCL-00175,Bundle 606,47,428.47,2027-08-05,949580144787,No
PCL-00176,Satchel 666,14,520.96,2028-01-18,546612248850,No
PCL-00177,Package 209,47,776.29,2028-01-02,162301801489,No
PCL-00178,Container 427,47,848.56,2027-11-01,425057830647,Yes
PCL-00179,Tube 838,6,516.03,2026-10-17,427295923786,Yes
PCL-00180,Bag 660,25,595.91,2027-05-14,972377011122,Yes
PCL-00181,Parcel 966,19,42.62,2025-12-30,868803160709,No
PCL-00182,Parcel 501,18,251.42,2026-05-02,459623112692,No
PCL-00183,Package 845,26,880.11,2027-02-13,416769058921,Yes
PCL-00184,Envelope 350,66,880.06,2028-06-07,630420408972,Yes
PCL-00185,Box 382,33,829.5,2027-10-13,889516051045,Yes
PCL-00186,Box 325,48,471.5,2026-10-12,678236075599,Yes
PCL-00187,Tube 294,62,559.38,2027-03-02,294032518660,Yes
PCL-00188,Parcel 390,1,31.53,2028-06-09,970820606425,No
PCL-00189,Container 664,69,70.26,2026-03-13,672881497182,No
PCL-00190,Tube 574,2,417.76,2028-01-24,412489873654,Yes
PCL-00191,Bag 824,11,756.53,2028-05-20,194850713320,Yes
PCL-00192,Box 229,96,346.19,2027-02-12,579360836336,No
PCL-00193,Bag 809,67,211.07,2026-08-22,994290538818,Yes
PCL-00194,Package 322,43,607.72,2026-11-14,864365692532,Yes
PCL-00195,Envelope 452,51,748.86,2027-11-12,338770662387,Yes
PCL-00196,Tube 117,86,979.92,2026-01-05,982441129485,Yes
PCL-00197,Crate 211,92,383.95,2028-03-29,589564239898,No
PCL-00198,Container 803,77,299.7,2027-04-28,964191755331,No
PCL-00199,Satchel 157,43,214.02,2026-10-14,416577486281,No
PCL-00200,Container 912,23,446.27,2027-01-31,833523617113,No
PCL-00201,Tube 986,55,564.0,2026-06-09,460405551298,Yes
PCL-00202,Crate 814,2,178.74,2027-02-23,549441951393,Yes
PCL-00203,Tube 955,4,645.9,2026-12-05,445849432348,Yes
PCL-00204,Container 351,92,60.54,2028-01-07,582637153209,No
PCL-00205,Crate 888,91,11.4,2025-11-25,419763515757,Yes
PCL-00206,Bag 484,76,17.84,2028-02-06,143149235364,No
PCL-00207,Container 683,33,150.37,2027-06-02,460238313381,Yes
PCL-00208,Parcel 161,66,897.52,2027-12-07,294350288195,No
PCL-00209,Satchel 881,92,902.73,2026-12-04,970230950476,Yes
PCL-00210,Container 279,64,162.73,2027-06-16,347033951344,No
PCL-00211,Parcel 906,89,58.32,2027-09-11,287586201465,No
PCL-00212,Box 900,27,699.42,2027-08-05,762293916423,Yes
PCL-00213,Box 811,70,219.91,2027-01-14,427841042951,Yes
PCL-00214,Tube 878,73,917.21,2025-11-25,629783435780,Yes
PCL-00215,Parcel 607,62,760.52,2026-08-03,099194795132,Yes
PCL-00216,Tube 827,85,841.29,2027-10-11,220273453279,Yes
PCL-00217,Parcel 632,66,391.87,2027-07-18,668679677793,No
PCL-00218,Tube 997,86,166.58,2026-04-18,367360835089,Yes
PCL-00219,Parcel 131,13,468.75,2027-05-16,122118095794,No
PCL-00220,Satchel 922,96,989.81,2026-10-25,672175799537,Yes
PCL-00221,Tube 256,26,934.18,2027-05-14,957545619764,Yes
PCL-00222,Container 703,45,499.46,2026-11-02,196360068556,Yes
PCL-00223,Bundle 459,15,102.73,2026-04-02,607427955374,Yes
PCL-00224,Bag 872,92,580.29,2026-01-16,036962244637,No
PCL-00225,Box 276,30,570.24,2027-07-29,498340197510,Yes
PCL-00226,Bag 335,77,873.94,2026-07-04,637627455373,Yes
PCL-00227,Container 862,15,372.53,2026-02-27,103909732610,No
PCL-00228,Crate 205,4,937.85,2027-03-20,012809773105,No
PCL-00229,Tube 740,96,28.8,2028-04-21,509194221534,Yes
PCL-00230,Tube 909,96,278.6,2027-07-18,820599513334,No
PCL-00231,Tube 142,86,444.81,2027-06-22,099711353368,Yes
PCL-00232,Bag 357,98,367.47,2027-10-22,025248363266,No
PCL-00233,Parcel 977,72,835.51,2028-04-26,026005315241,No
PCL-00234,Box 271,25,453.28,2027-12-14,514701002157,Yes
PCL-00235,Satchel 494,35,751.99,2026-12-15,372570498644,No
PCL-00236,Parcel 907,77,255.06,2026-05-10,120225535150,Yes
PCL-00237,Container 801,96,61.7,2026-09-16,225459278473,Yes
PCL-00238,Package 818,27,266.78,2027-12-03,920202020136,Yes
PCL-00239,Envelope 834,43,271.22,2027-08-28,312790845595,Yes
PCL-00240,Box 850,8,268.41,2027-12-04,758014653446,Yes
PCL-00241,Package 696,66,861.56,2027-06-14,734903087846,Yes
PCL-00242,Tube 689,29,45.8,2028-06-14,576350153655,No
PCL-00243,Bag 541,40,261.85,2027-12-19,324184361850,Yes
PCL-00244,Parcel 995,30,52.89,2028-04-07,384986732575,Yes
PCL-00245,Crate 784,92,791.34,2027-06-04,365294758549,Yes
PCL-00246,Bundle 486,16,466.35,2028-05-30,341064734197,No
PCL-00247,Container 778,80,645.42,2028-06-07,734731695467,No
PCL-00248,Box 938,19,874.19,2028-01-03,114627843976,No
PCL-00249,Parcel 457,51,110.52,2027-04-17,650928426972,No
PCL-00250,Crate 935,55,537.22,2027-07-13,159826446275,No
PCL-00251,Crate 696,85,696.91,2026-07-22,189611386779,Yes
PCL-00252,Box 810,93,783.8,2026-07-09,608253275060,Yes
PCL-00253,Package 693,49,691.25,2026-11-20,146736689150,No
PCL-00254,Package 519,54,476.65,2027-09-18,898346893782,No
PCL-00255,Bundle 983,78,51.81,2025-11-25,087850895901,No
PCL-00256,Parcel 590,76,818.21,2027-02-22,943771322911,No
PCL-00257,Package 793,48,93.45,2026-04-14,530730784170,Yes
PCL-00258,Parcel 799,58,435.11,2026-11-18,442993940368,No
PCL-00259,Parcel 599,87,234.35,2028-02-20,040798381199,Yes
PCL-00260,Container 172,10,486.58,2026-07-31,091937752213,Yes
PCL-00261,Bag 700,80,270.02,2026-07-01,592346152241,Yes
PCL-00262,Envelope 713,58,919.86,2026-09-17,426644702070,No
PCL-00263,Box 845,14,393.46,2026-07-29,759952975339,Yes
PCL-00264,Parcel 245,9,588.37,2028-01-20,682503513428,Yes
PCL-00265,Bundle 236,72,894.07,2027-05-15,214704219389,No
PCL-00266,Tube 356,87,175.98,2026-02-07,909302891838,Yes
PCL-00267,Bag 441,19,364.83,2026-06-04,649502286727,No
PCL-00268,Parcel 738,100,482.06,2026-06-09,661042256779,No
PCL-00269,Envelope 403,38,884.54,2026-12-18,025612013056,No
PCL-00270,Container 965,49,20.93,2028-03-22,930735448817,No
PCL-00271,Tube 762,95,861.72,2028-01-23,845749192314,No
PCL-00272,Parcel 303,24,527.52,2026-11-15,953622606504,No
PCL-00273,Tube 915,30,100.96,2027-01-20,867460423306,No
PCL-00274,Tube 335,11,759.8,2026-04-25,993325261576,Yes
PCL-00275,Package 577,41,65.59,2027-02-01,520759879427,No
PCL-00276,Satchel 519,27,103.8,2027-04-01,708361777928,No
PCL-00277,Crate 783,25,989.91,2027-04-13,164479509275,Yes
PCL-00278,Bundle 901,83,940.87,2027-05-31,063296671221,Yes
PCL-00279,Package 684,11,726.86,2027-01-11,554283184610,Yes
PCL-00280,Bundle 992,59,941.25,2028-02-29,530882807422,Yes
PCL-00281,Box 657,95,122.05,2026-10-30,193056758672,Yes
PCL-00282,Package 783,33,216.46,2027-11-15,385252162841,No
PCL-00283,Bag 768,66,231.0,2027-06-02,184446810624,Yes
PCL-00284,Box 815,13,282.97,2026-05-28,707128826994,Yes
PCL-00285,Crate 132,65,358.46,2027-06-09,714531096052,No
PCL-00286,Envelope 568,63,853.95,2027-09-23,141519447677,No
PCL-00287,Container 722,86,724.41,2027-05-12,045952880017,No
PCL-00288,Satchel 461,40,588.63,2028-02-10,222244763110,No
PCL-00289,Tube 241,88,861.99,2028-03-19,232734171313,Yes
PCL-00290,Container 282,35,226.48,2027-10-13,369196893608,No
PCL-00291,Bundle 155,84,298.78,2027-05-31,291873396636,Yes
PCL-00292,Bundle 490,1,525.83,2027-12-25,743940844611,Yes
PCL-00293,Bundle 434,22,206.19,2028-07-11,133497175701,No
PCL-00294,Crate 438,95,681.65,2026-12-18,447228215001,Yes
PCL-00295,Crate 969,62,151.36,2026-08-05,512928373775,Yes
PCL-00296,Bag 363,82,677.21,2026-01-02,591884069416,Yes
PCL-00297,Container 945,46,984.83,2027-11-09,335818135641,Yes
PCL-00298,Bag 352,4,837.13,2025-11-22,231633476181,Yes
PCL-00299,Box 200,95,297.92,2026-03-27,814512945626,Yes
PCL-00300,Bag 898,13,627.7,2028-01-11,428765700157,Yes
PCL-00301,Box 985,93,832.49,2027-10-11,789882590659,No
PCL-00302,Container 543,43,655.99,2028-07-13,718421924261,No
PCL-00303,Tube 230,98,303.11,2026-02-13,947771466700,Yes
PCL-00304,Parcel 672,11,205.89,2027-12-19,144019964472,Yes
PCL-00305,Package 890,16,841.85,2028-02-02,240234711630,No
PCL-00306,Package 432,51,880.03,2026-08-26,985128787042,No
PCL-00307,Satchel 268,17,366.14,2028-06-17,757853546138,Yes
PCL-00308,Bag 506,87,459.08,2028-02-25,787279728568,No
PCL-00309,Parcel 782,27,85.17,2028-01-09,429794853201,No
PCL-00310,Crate 946,92,836.8,2028-06-14,327861256784,No
PCL-00311,Envelope 966,5,113.65,2026-05-03,086952333187,Yes
PCL-00312,Bag 611,65,177.55,2025-12-09,267003673508,Yes
PCL-00313,Crate 302,85,806.56,2025-12-30,262056631835,Yes
PCL-00314,Satchel 487,28,381.3,2027-08-26,361326590184,No
PCL-00315,Parcel 692,5,379.48,2026-08-22,844858189907,Yes
PCL-00316,Bag 255,33,14.73,2027-12-24,656205847890,Yes
PCL-00317,Bundle 344,98,15.3,2026-03-19,183453269516,No
PCL-00318,Bundle 600,14,16.08,2027-11-27,830346455679,No
PCL-00319,Container 126,21,762.75,2026-02-10,213409238080,Yes
PCL-00320,Satchel 691,27,495.84,2027-08-15,384413890085,No
PCL-00321,Satchel 496,58,820.23,2027-01-08,099072728842,No
PCL-00322,Package 391,38,103.14,2027-07-07,336699253649,No
PCL-00323,Box 779,7,387.94,2026-08-19,943061214045,No
PCL-00324,Container 377,45,106.68,2026-07-28,343921667586,Yes
PCL-00325,Envelope 336,31,681.48,2028-02-18,120271562482,Yes
PCL-00326,Crate 766,26,202.98,2028-03-17,175379957829,No
PCL-00327,Tube 309,19,87.91,2026-01-08,435415647512,Yes
PCL-00328,Bag 709,50,663.43,2027-01-29,834015266114,No
PCL-00329,Parcel 879,79,804.3,2027-07-16,750298687954,No
PCL-00330,Container 165,69,267.23,2026-09-24,263542312552,Yes
PCL-00331,Bag 795,10,528.35,2028-05-06,488570667657,No
PCL-00332,Tube 400,86,628.94,2027-11-29,471188397278,Yes
PCL-00333,Box 386,14,430.45,2026-07-02,378098328596,Yes
PCL-00334,Bundle 288,49,626.74,2026-09-28,058587348388,Yes
PCL-00335,Bundle 631,29,185.73,2028-03-26,678116295604,No
PCL-00336,Container 616,62,691.13,2027-04-16,194915705115,No
PCL-00337,Crate 848,74,944.2,2027-12-01,853680093946,Yes
PCL-00338,Parcel 573,27,780.56,2028-05-09,466110423506,Yes
PCL-00339,Bag 346,11,472.89,2026-06-12,007883645116,No
PCL-00340,Tube 225,60,300.3,2027-07-31,750276848188,Yes
PCL-00341,Bundle 391,58,423.2,2026-06-14,547738174886,No
PCL-00342,Crate 543,43,17.94,2026-01-03,997892024268,Yes
PCL-00343,Box 486,82,907.83,2027-04-12,400159211586,No
PCL-00344,Package 478,11,71.41,2027-12-08,178739060048,No
PCL-00345,Tube 860,67,817.71,2028-04-08,135513467133,No
PCL-00346,Crate 840,80,921.24,2027-06-08,838277040510,No
PCL-00347,Envelope 663,17,991.11,2028-07-12,420305845510,Yes
PCL-00348,Bundle 872,5,724.34,2026-03-09,386753779262,No
PCL-00349,Bundle 939,59,499.32,2027-06-01,486892633637,No
PCL-00350,Satchel 100,57,771.06,2028-01-20,514355854952,No
PCL-00351,Tube 780,33,214.18,2025-12-14,212958116180,No
PCL-00352,Tube 470,7,648.87,2027-03-10,877549776237,No
PCL-00353,Package 459,68,176.0,2028-01-13,051755893694,No
PCL-00354,Satchel 447,2,935.7,2026-02-20,021140704966,Yes
PCL-00355,Package 414,96,736.34,2026-08-25,627511344896,No
PCL-00356,Parcel 555,44,906.38,2026-03-21,398236247092,No
PCL-00357,Envelope 362,1,43.1,2026-07-03,259458493148,Yes
PCL-00358,Bundle 673,82,367.3,2026-10-07,073030884754,Yes
PCL-00359,Box 215,62,574.34,2027-11-17,674621291352,No
PCL-00360,Crate 479,28,192.24,2027-05-27,644507648668,No
PCL-00361,Crate 765,58,23.79,2027-04-23,570483523700,No
PCL-00362,Package 329,52,599.84,2026-06-21,357890045353,No
PCL-00363,Box 251,81,519.71,2027-12-17,162273779469,Yes
PCL-00364,Container 790,91,186.74,2026-10-11,776214482487,Yes
PCL-00365,Bundle 325,29,699.26,2027-10-14,976506726973,No
PCL-00366,Container 263,46,529.16,2028-06-21,116729152995,No
PCL-00367,Crate 506,9,215.81,2027-05-15,727595180744,Yes
PCL-00368,Container 110,35,869.4,2026-12-19,569007372723,No
PCL-00369,Envelope 346,28,299.8,2026-05-26,677956092918,Yes
PCL-00370,Box 132,61,786.26,2025-11-25,719251607543,No
PCL-00371,Container 498,49,750.44,2028-01-27,977893080543,No
PCL-00372,Crate 726,94,59.72,2026-07-27,705220613013,No
PCL-00373,Package 617,57,266.87,2027-09-14,358231285681,Yes
PCL-00374,Envelope 822,77,237.59,2026-10-23,236238510595,Yes
PCL-00375,Bundle 717,40,478.4,2026-11-24,610381099934,Yes
PCL-00376,Box 363,45,44.5,2026-04-17,804607614105,Yes
PCL-00377,Satchel 715,30,504.65,2027-05-08,653852151568,No
PCL-00378,Satchel 666,94,695.86,2025-12-29,708596698484,No
PCL-00379,Bag 890,72,750.0,2026-10-18,758852462766,No
PCL-00380,Tube 833,5,67.51,2028-06-13,748877552784,Yes
PCL-00381,Parcel 949,57,908.53,2027-10-30,357101696199,No
PCL-00382,Tube 323,89,536.29,2026-03-05,540819625727,No
PCL-00383,Bundle 261,90,323.5,2028-05-07,459620044330,No
PCL-00384,Parcel 733,11,938.54,2028-05-24,668614758473,No
PCL-00385,Tube 403,56,834.13,2027-04-19,411018773548,No
PCL-00386,Package 438,41,314.56,2027-01-14,050909248937,No
PCL-00387,Container 701,5,873.56,2028-01-18,749448297584,No
PCL-00388,Container 887,6,924.86,2026-07-12,611863140926,No
PCL-00389,Envelope 891,77,985.37,2026-05-23,263030754334,Yes
PCL-00390,Tube 861,50,178.84,2025-12-29,554238211271,Yes
PCL-00391,Box 465,28,575.6,2028-02-19,260837654563,No
PCL-00392,Satchel 503,95,411.17,2026-01-28,337190997116,No
PCL-00393,Bag 268,9,693.4,2028-04-26,159415627354,Yes
PCL-00394,Parcel 254,22,851.0,2025-12-19,022922931691,Yes
PCL-00395,Tube 483,57,847.88,2027-10-07,966370856477,Yes
PCL-00396,Container 521,9,114.55,2026-07-12,910229854645,No
PCL-00397,Envelope 418,36,951.55,2026-04-20,115186740127,Yes
PCL-00398,Crate 966,44,909.69,2028-05-20,396321553967,No
PCL-00399,Parcel 367,28,942.84,2028-04-03,171266770131,No
PCL-00400,Box 186,84,430.22,2028-04-07,866101142616,Yes
PCL-00401,Container 709,22,642.28,2027-02-08,669717379724,No
PCL-00402,Box 436,25,536.43,2026-03-22,851855868809,Yes
PCL-00403,Envelope 519,98,700.33,2027-10-09,032711979330,No
PCL-00404,Package 415,98,542.23,2028-07-13,527597036264,No
PCL-00405,Satchel 736,8,108.12,2028-04-29,591795150893,Yes
PCL-00406,Box 510,32,486.45,2028-06-01,757019150494,No
PCL-00407,Envelope 422,70,652.92,2028-01-07,239448107373,No
PCL-00408,Container 330,44,777.95,2027-03-05,361122218318,No
PCL-00409,Bundle 937,97,963.12,2026-03-18,072138791645,No
